,st_pmralim,ra,st_logglim,st_tmagerr1,st_pmdec,st_radlim,st_tmag,st_pmra,st_pmdecerr2,st_radsymerr,st_tefferr2,st_dist,st_loggsymerr,st_distsymerr,st_tefflim,st_distlim,st_disterr2,st_teff,st_loggerr2,dec,st_tmagsymerr,st_pmdeclim,st_pmraerr2,st_rad,st_loggerr1,st_tmagerr2,st_pmrasymerr,st_logg,st_teffsymerr,st_pmdecerr1,st_tmaglim,st_pmdecsymerr,st_disterr1,st_raderr1,st_pmraerr1,st_tefferr1,st_raderr2,tfopwg_disp
477,0.0,332.287103,0,0.006,6.381,0,10.7387,4.333,-0.054,1,-141.5,482.603,1,1,0,0,-9.0575,7577.0,-0.08,57.938972,1,0.0,-0.06,2.0780001,0.08,-0.006,1.0,4.05,1,0.054,0,1.0,9.0575,0.0756332,0.06,141.5,-0.0756332,NOT PLANET
480,0.0,315.669109,0,0.006,-1.7,0,8.4239,3.4,-1.5,1,-502.3,,1,1,0,0,,5195.1,,70.0803,1,0.0,-1.5,,,-0.006,1.0,,1,1.5,0,1.0,,,1.5,502.3,,NOT PLANET
481,0.0,82.127963,0,0.006,-21.885,0,11.4266,0.889,-0.066,1,-135.5,414.23,1,1,0,0,-5.0325,6519.0,-0.08,-48.409067,1,0.0,-0.057,1.27,0.08,-0.006,1.0,4.36,1,0.066,0,1.0,5.0325,0.06,0.057,135.5,-0.06,PLANET
482,0.0,336.576123,0,0.006,-114.505,0,7.7275,73.606,-0.093,1,-6064.9,80.8994,1,1,0,0,-0.4704,6073.5,-0.3,-18.011665,1,0.0,-0.105,1.47131,0.3,-0.006,1.0,4.1,1,0.093,0,1.0,0.4704,0.0695252,0.105,6064.9,-0.0695252,PLANET
483,0.0,313.511047,0,0.006,28.759,0,8.82374,11.808,-0.045,1,-709.2,139.484,1,1,0,0,-0.4175,6594.0,-0.16,72.580646,1,0.0,-0.045,1.49,0.16,-0.006,1.0,4.23,1,0.045,0,1.0,0.4175,0.11,0.045,709.2,-0.11,PLANET
484,0.0,313.511047,0,0.006,28.759,0,8.82374,11.808,-0.045,1,-709.2,139.484,1,1,0,0,-0.4175,6594.0,-0.16,72.580646,1,0.0,-0.045,1.49,0.16,-0.006,1.0,4.23,1,0.045,0,1.0,0.4175,0.11,0.045,709.2,-0.11,PLANET
486,0.0,338.983717,0,0.006,-84.419,0,7.384,-108.388,-0.064,1,-44.5804,48.0883,1,1,0,0,-0.0989,5795.29,,-59.864829,1,0.0,-0.05,1.13,,-0.006,1.0,4.438,1,0.064,0,1.0,0.0989,0.05,0.05,44.5804,-0.05,PLANET
487,0.0,334.882849,0,0.006,10.385,0,10.1917,-67.417,-0.043,1,-106.7,72.7512,1,1,0,0,-0.1604,4634.6,-0.1,42.560314,1,0.0,-0.04,0.78,0.1,-0.006,1.0,4.51,1,0.043,0,1.0,0.1604,0.06,0.04,106.7,-0.06,PLANET
488,0.0,232.946047,0,0.006,-298.481,0,9.1043,154.795,-0.048,1,-124.368,32.4778,1,1,0,0,-0.0225,4184.0,-0.107379,47.055551,1,0.0,-0.037,0.69,0.107379,-0.006,1.0,4.57376,1,0.048,0,1.0,0.0225,0.06,0.037,124.368,-0.06,PLANET
493,0.0,216.923489,0,0.006,-101.247,0,9.0739,-92.338,-0.037,1,-128.622,55.0135,1,1,0,0,-0.07735,4946.0,-0.0914034,41.952986,1,0.0,-0.032,0.8,0.0914034,-0.006,1.0,4.53834,1,0.037,0,1.0,0.07735,0.05,0.032,128.622,-0.05,PLANET
494,0.0,335.825303,0,0.007,-18.496,0,8.51017,10.685,-0.068,1,-169.486,151.528,1,1,0,0,-1.042,7164.0,-0.0837602,35.03492,1,0.0,-0.073,1.55831,0.0837602,-0.007,1.0,4.25661,1,0.068,0,1.0,1.042,0.0589573,0.073,169.486,-0.0589573,PLANET
496,0.0,206.094014,0,0.006,-24.008,0,10.7164,-19.746,-0.038,1,-118.05,134.554,1,1,0,0,-0.4785,5224.0,-0.0804107,48.028565,1,0.0,-0.034,0.82,0.0804107,-0.006,1.0,4.55801,1,0.038,0,1.0,0.4785,0.05,0.034,118.05,-0.05,PLANET
498,0.0,322.941809,0,0.006,32.042,0,11.2287,45.326,-0.044,1,-136.579,201.918,1,1,0,0,-0.9145,5387.0,-0.0853171,66.349005,1,0.0,-0.045,0.940037,0.0853171,-0.006,1.0,4.46259,1,0.044,0,1.0,0.9145,0.0535176,0.045,136.579,-0.0535176,PLANET
500,0.0,354.240829,0,0.006,-31.087,0,10.1308,-67.547,-0.031,1,-125.3,155.141,1,1,0,0,-0.66,5914.0,-0.08,39.639279,1,0.0,-0.041,1.00826,0.08,-0.006,1.0,4.46,1,0.031,0,1.0,0.66,0.0466332,0.041,125.3,-0.0466332,PLANET
501,0.0,344.609651,0,0.006,-38.029,0,10.9243,-79.05,-0.045,1,-127.12,112.383,1,1,0,0,-0.459,4993.0,-0.0887258,39.658712,1,0.0,-0.044,0.696945,0.0887258,-0.006,1.0,4.66918,1,0.045,0,1.0,0.459,0.04299,0.044,127.12,-0.04299,NOT PLANET
504,0.0,339.03342,0,0.006,57.654,0,9.76952,-65.606,-0.139,1,-103.5,129.284,1,1,0,0,-1.5525,5558.0,-0.08,37.841042,1,0.0,-0.084,1.1,0.08,-0.006,1.0,4.43,1,0.139,0,1.0,1.5525,0.04,0.084,103.5,-0.04,NOT PLANET
505,0.0,346.517442,0,0.006,-37.636,0,10.0526,-2.799,-2.02,1,-106.1,72.6157,1,1,0,0,-7.92175,5094.4,,43.898633,1,0.0,-2.2,0.63,,-0.006,1.0,,1,2.02,0,1.0,7.92175,0.03,2.2,106.1,-0.03,NOT PLANET
506,0.0,287.050161,0,0.008,4.565,0,10.8475,-4.773,-0.046,1,-134.8,504.976,1,1,0,0,-6.2375,6314.0,-0.09,55.303691,1,0.0,-0.046,2.14,0.09,-0.008,1.0,3.87,1,0.046,0,1.0,6.2375,0.1,0.046,134.8,-0.1,NOT PLANET
507,0.0,295.101088,0,0.006,6.889,0,11.6459,-2.194,-0.04,1,-147.439,435.255,1,1,0,0,-4.5665,5854.65,-0.0861579,40.986723,1,0.0,-0.041,1.47292,0.0861579,-0.006,1.0,4.1262,1,0.04,0,1.0,4.5665,0.0925879,0.041,147.439,-0.0925879,NOT PLANET
508,0.0,328.767739,0,0.006,-4.311,0,9.77486,12.885,-0.105,1,-197.0,298.109,1,1,0,0,-6.691,6371.0,-0.439603,-22.6126,1,0.0,-0.101,1.95411,0.439603,-0.006,1.0,3.94807,1,0.105,0,1.0,6.691,0.0941057,0.101,197.0,-0.0941057,PLANET
509,0.0,300.615453,0,0.006,145.473,0,8.3879,164.816,-0.047,1,-119.118,41.1706,1,1,0,0,-0.0414,5064.0,-0.0847109,53.377442,1,0.0,-0.05,0.78,0.0847109,-0.006,1.0,4.57887,1,0.047,0,1.0,0.0414,0.05,0.05,119.118,-0.05,PLANET
510,0.0,316.203692,0,0.006,23.869,0,7.79824,11.737,-0.064,1,-189.5,148.925,1,1,0,0,-1.027,7400.0,-0.08,55.588022,1,0.0,-0.078,1.94,0.08,-0.006,1.0,4.11,1,0.064,0,1.0,1.027,0.06,0.078,189.5,-0.06,PLANET
516,0.0,256.138751,0,0.006,-20.199,0,8.69378,10.709,-0.038,1,-124.709,103.297,1,1,0,0,-0.183,6093.0,-0.0785303,56.842549,1,0.0,-0.032,1.22,0.0785303,-0.006,1.0,4.32207,1,0.038,0,1.0,0.183,0.05,0.032,124.709,-0.05,PLANET
517,0.0,280.923784,0,0.006,53.295,0,10.3237,-23.084,-0.04,1,-183.0,110.513,1,1,0,0,-0.25,5374.0,-0.332801,74.937833,1,0.0,-0.039,0.815924,0.332801,-0.006,1.0,5.96065,1,0.04,0,1.0,0.25,0.0458266,0.039,183.0,-0.0458266,PLANET
518,0.0,280.923784,0,0.006,53.295,0,10.3237,-23.084,-0.04,1,-183.0,110.513,1,1,0,0,-0.25,5374.0,-0.332801,74.937833,1,0.0,-0.039,0.82,0.332801,-0.006,1.0,5.96065,1,0.04,0,1.0,0.25,0.05,0.039,183.0,-0.05,PLANET
519,0.0,241.763937,0,0.006,-20.618,0,9.98671,-0.587,-0.079,1,-123.835,230.306,1,1,0,0,-2.3345,5873.0,-0.0782199,67.87764,1,0.0,-0.062,1.62,0.0782199,-0.006,1.0,4.043,1,0.079,0,1.0,2.3345,0.08,0.062,123.835,-0.08,PLANET
520,0.0,84.29928,0,0.006,1048.84,0,5.1054,311.187,-0.136,1,,18.2702,1,1,0,0,-0.0226,5950.0,,-80.464604,1,0.0,-0.127,1.15,,-0.006,1.0,4.438,1,0.136,0,1.0,0.0226,0.05,0.127,,-0.05,PLANET
524,0.0,287.292101,0,0.007,462.813,0,12.4934,82.064,-0.066,1,-157.0,41.1659,1,1,0,0,-0.06165,3328.0,-0.0046539,74.174276,1,0.0,-0.065,0.308799,0.0046539,-0.007,1.0,4.91612,1,0.066,0,1.0,0.06165,0.00923,0.065,157.0,-0.00923,PLANET
525,0.0,297.398678,0,0.006,21.781,0,9.9377,-88.066,-0.056,1,-125.328,85.8034,1,1,0,0,-0.2054,5236.0,-0.0858843,76.139178,1,0.0,-0.047,0.75,0.0858843,-0.006,1.0,4.63898,1,0.056,0,1.0,0.2054,0.04,0.047,125.328,-0.04,PLANET
526,0.0,305.474925,0,0.006,-20.689,0,10.1522,46.402,-0.034,1,-121.494,125.463,1,1,0,0,-0.336,5466.0,-0.0772158,70.943705,1,0.0,-0.035,0.92499,0.0772158,-0.006,1.0,4.48625,1,0.034,0,1.0,0.336,0.0470452,0.035,121.494,-0.0470452,PLANET
532,0.0,316.324003,0,0.007,-64.779,0,13.1717,-15.721,-0.065,1,-157.0,73.3345,1,1,0,0,-0.17285,3391.0,-0.0021442,57.771095,1,0.0,-0.074,0.381586,0.0021442,-0.007,1.0,4.84373,1,0.065,0,1.0,0.17285,0.0113779,0.074,157.0,-0.0113779,PLANET
536,0.0,286.854063,0,0.007,160.881,0,10.0306,69.923,-0.055,1,-157.0,22.4467,1,1,0,0,-0.01315,3407.0,-0.0069708,59.086625,1,0.0,-0.055,0.473603,0.0069708,-0.007,1.0,4.7606,1,0.055,0,1.0,0.01315,0.0139457,0.055,157.0,-0.0139457,PLANET
537,0.0,186.524282,0,0.006,-26.87,0,8.9989,-5.716,-0.035,1,-130.458,91.9362,1,1,0,0,-0.21725,5781.0,-0.0794308,61.258929,1,0.0,-0.038,1.03,0.0794308,-0.006,1.0,4.43068,1,0.035,0,1.0,0.21725,0.05,0.038,130.458,-0.05,PLANET
538,0.0,290.173974,0,0.007,-73.913,0,12.295,7.83,-0.086,1,-157.0,30.5212,1,1,0,0,-0.0391,3248.0,-0.0068016,73.195108,1,0.0,-0.077,0.275364,0.0068016,-0.007,1.0,4.95407,1,0.086,0,1.0,0.0391,0.0093413,0.077,157.0,-0.0093413,PLANET
539,0.0,258.22327,0,0.006,-0.024,0,10.1426,-71.005,-0.039,1,-127.0,78.7415,1,1,0,0,-0.11935,4920.0,-0.09,57.197778,1,0.0,-0.036,0.71,0.09,-0.006,1.0,4.64,1,0.039,0,1.0,0.11935,0.05,0.036,127.0,-0.05,PLANET
540,0.0,258.22327,0,0.006,-0.024,0,10.1426,-71.005,-0.039,1,-127.0,78.7415,1,1,0,0,-0.11935,4920.0,-0.09,57.197778,1,0.0,-0.036,0.71,0.09,-0.006,1.0,4.64,1,0.039,0,1.0,0.11935,0.05,0.036,127.0,-0.05,PLANET
543,0.0,306.741134,0,0.006,-14.651,0,8.0417,-36.869,-0.04,1,-122.2,80.6665,1,1,0,0,-0.19125,6125.0,-0.08,33.744388,1,0.0,-0.042,1.27,0.08,-0.006,1.0,4.29,1,0.04,0,1.0,0.19125,0.06,0.042,122.2,-0.06,PLANET
545,0.0,9.573034,0,0.006,-4.588,0,10.374,-21.564,-0.149,1,-125.7,226.637,1,1,0,0,-4.388,6140.0,-0.08,42.463096,1,0.0,-0.081,1.24,0.08,-0.006,1.0,4.32,1,0.149,0,1.0,4.388,0.06,0.081,125.7,-0.06,PLANET
547,0.0,358.302034,0,0.006,-27.177,0,10.7124,65.392,-1.636,1,,739.632,1,1,0,0,-639.884,,,-56.013252,1,0.0,-1.57,,,-0.006,1.0,,1,1.636,0,1.0,639.884,,1.57,,,NOT PLANET
548,0.0,20.610639,0,0.006,-4.7,0,9.9176,14.4,-1.8,1,,150.102,1,1,0,0,,5766.0,,26.925729,1,0.0,-1.8,1.1282001,,-0.006,1.0,4.438,1,1.8,0,1.0,,,1.8,,,NOT PLANET
550,0.0,261.349585,0,0.006,-49.639,0,5.8961,-91.047,-0.059,1,-124.625,27.0498,1,1,0,0,-0.0215,5801.89,-0.0751595,52.790472,1,0.0,-0.055,1.26,0.0751595,-0.006,1.0,4.25132,1,0.059,0,1.0,0.0215,0.06,0.055,124.625,-0.06,PLANET
551,0.0,7.053937,0,0.008,-6.509,0,12.0401,0.919,-0.1,1,-127.666,367.658,1,1,0,0,-7.922,5583.0,-0.0771526,42.061345,1,0.0,-0.064,1.1145999,0.0771526,-0.008,1.0,4.33946,1,0.1,0,1.0,7.922,0.0614975,0.064,127.666,-0.0614975,PLANET
553,0.0,303.38187,0,0.006,58.17,0,11.8478,12.636,-0.041,1,-108.354,185.615,1,1,0,0,-0.801,4910.0,-0.0828462,65.162331,1,0.0,-0.048,0.77,0.0828462,-0.006,1.0,4.57248,1,0.041,0,1.0,0.801,0.05,0.048,108.354,-0.05,PLANET
555,0.0,19.114644,0,0.007,-149.059,0,10.5977,108.394,-0.055,1,-157.0,37.4418,1,1,0,0,-0.05465,3834.0,-0.0077069,49.233138,1,0.0,-0.069,0.490737,0.0077069,-0.007,1.0,4.74552,1,0.055,0,1.0,0.05465,0.0145151,0.069,157.0,-0.0145151,PLANET
556,0.0,16.653872,0,0.008,-222.697,0,10.8858,-41.465,-0.103,1,-157.0,24.7399,1,1,0,0,-0.0468,3382.0,-0.0010873,19.224919,1,0.0,-0.227,0.369306,0.0010873,-0.008,1.0,4.85532,1,0.103,0,1.0,0.0468,0.010922,0.227,157.0,-0.010922,PLANET
557,0.0,16.653872,0,0.008,-222.697,0,10.8858,-41.465,-0.103,1,-157.0,24.7399,1,1,0,0,-0.0468,3382.0,-0.0010873,19.224919,1,0.0,-0.227,0.369306,0.0010873,-0.008,1.0,4.85532,1,0.103,0,1.0,0.0468,0.010922,0.227,157.0,-0.010922,PLANET
558,0.0,348.337203,0,0.007,294.936,0,4.6278,2074.52,-0.123,1,-142.835,6.53127,1,1,0,0,-0.003845,4884.29,-0.0990508,57.169626,1,0.0,-0.137,0.750598,0.0990508,-0.007,1.0,4.59034,1,0.123,0,1.0,0.003845,0.0575351,0.137,142.835,-0.0575351,PLANET
559,0.0,348.337203,0,0.007,294.936,0,4.6278,2074.52,-0.123,1,-142.835,6.53127,1,1,0,0,-0.003845,4884.29,-0.0990508,57.169626,1,0.0,-0.137,0.75,0.0990508,-0.007,1.0,4.59034,1,0.123,0,1.0,0.003845,0.06,0.137,142.835,-0.06,PLANET
560,0.0,73.641474,0,0.006,22.236,0,11.8999,5.001,-0.054,1,-134.5,820.079,1,1,0,0,-16.5695,5620.9,-0.08,-57.513453,1,0.0,-0.053,2.6126101,0.08,-0.006,1.0,3.6,1,0.054,0,1.0,16.5695,0.158683,0.053,134.5,-0.158683,NOT PLANET
561,0.0,10.089143,0,0.007,-55.602,0,11.4752,48.576,-0.043,1,-157.0,51.9503,1,1,0,0,-0.0745,3624.0,-0.0077232,61.213387,1,0.0,-0.044,0.49012,0.0077232,-0.007,1.0,4.74607,1,0.043,0,1.0,0.0745,0.0145314,0.044,157.0,-0.0145314,PLANET
562,0.0,30.905006,0,0.006,107.675,0,8.5725,158.824,-0.06,1,-114.232,67.5478,1,1,0,0,-0.15625,5625.56,-0.0745542,21.281327,1,0.0,-0.069,0.97,0.0745542,-0.006,1.0,4.46798,1,0.06,0,1.0,0.15625,0.04,0.069,114.232,-0.04,PLANET
563,0.0,30.905006,0,0.006,107.675,0,8.5725,158.824,-0.06,1,-114.232,67.5478,1,1,0,0,-0.15625,5625.56,-0.0745542,21.281327,1,0.0,-0.069,0.97,0.0745542,-0.006,1.0,4.46798,1,0.06,0,1.0,0.15625,0.04,0.069,114.232,-0.04,PLANET
564,0.0,14.114261,0,0.006,-13.429,0,10.5508,103.372,-0.092,1,-131.442,121.84,1,1,0,0,-1.317,5103.0,-0.0887877,48.637517,1,0.0,-0.093,0.859483,0.0887877,-0.006,1.0,4.50257,1,0.092,0,1.0,1.317,0.0540654,0.093,131.442,-0.0540654,PLANET
565,0.0,15.598144,0,0.006,-10.13,0,8.297,-9.876,-0.064,1,-121.256,67.6203,1,1,0,0,-0.20465,5958.0,-0.0757701,37.185439,1,0.0,-0.068,0.99,0.0757701,-0.006,1.0,4.48217,1,0.064,0,1.0,0.20465,0.04,0.068,121.256,-0.04,PLANET
566,0.0,349.289072,0,0.008,129.094,0,14.1431,136.449,-0.061,1,-157.0,83.8106,1,1,0,0,-0.3077,3453.0,-0.0086427,70.190576,1,0.0,-0.073,0.275946,0.0086427,-0.008,1.0,4.95337,1,0.061,0,1.0,0.3077,0.0084829,0.073,157.0,-0.0084829,NOT PLANET
568,0.0,0.362099,0,0.006,-7.679,0,10.2242,-9.771,-0.042,1,-156.59,268.43,1,1,0,0,-3.023,6596.04,-0.0916891,39.383795,1,0.0,-0.055,1.46,0.0916891,-0.006,1.0,4.2467,1,0.042,0,1.0,3.023,0.07,0.055,156.59,-0.07,PLANET
569,0.0,9.458744,0,0.006,2.689,0,10.6496,-6.883,-0.046,1,-131.35,370.284,1,1,0,0,-7.7775,6695.0,-0.094521,51.288778,1,0.0,-0.068,1.61271,0.094521,-0.006,1.0,4.17494,1,0.046,0,1.0,7.7775,0.0774221,0.068,131.35,-0.0774221,PLANET
570,0.0,126.433743,0,0.006,67.943,0,10.2042,-8.277,-0.046,1,-125.6,152.892,1,1,0,0,-0.91,5623.0,-0.08,-13.559548,1,0.0,-0.058,1.04,0.08,-0.006,1.0,4.4,1,0.046,0,1.0,0.91,0.05,0.058,125.6,-0.05,PLANET
571,0.0,288.818098,0,0.007,2.593,0,10.364,-2.124,-0.044,1,-83.8,531.96,1,1,0,0,-7.076,6423.0,-0.09,57.760569,1,0.0,-0.043,2.63,0.09,-0.007,1.0,3.74,1,0.044,0,1.0,7.076,0.12,0.043,83.8,-0.12,NOT PLANET
572,0.0,338.320803,0,0.006,-25.839,0,11.7835,22.348,-0.072,1,-793.8,395.257,1,1,0,0,-9.729,5814.3,-2.0,-38.159828,1,0.0,-0.07,1.15,2.0,-0.006,1.0,4.34,1,0.072,0,1.0,9.729,0.06,0.07,793.8,-0.06,PLANET
573,0.0,332.613639,0,0.025,-2.683,0,8.7514,-0.181,-0.44,1,-188.8,893.093,1,1,0,0,-285.67,8181.0,,63.55055,1,0.0,-0.423,,,-0.025,1.0,,1,0.44,0,1.0,285.67,,0.423,188.8,,NOT PLANET
574,0.0,336.705071,0,0.007,-3.436,0,10.3209,2.924,-0.092,1,-129.9,1026.12,1,1,0,0,-56.009,8332.0,-0.09,52.227842,1,0.0,-0.096,4.02,0.09,-0.007,1.0,3.54,1,0.092,0,1.0,56.009,0.24,0.096,129.9,-0.24,NOT PLANET
576,0.0,338.435039,0,0.006,0.439,0,10.4935,20.218,-0.055,1,-156.1,209.69,1,1,0,0,-1.336,6109.0,-0.09,52.636337,1,0.0,-0.046,1.09,0.09,-0.006,1.0,4.42,1,0.055,0,1.0,1.336,0.05,0.046,156.1,-0.05,NOT PLANET
577,0.0,343.156204,0,0.006,-17.376,0,10.2108,-26.298,-0.065,1,-198.1,368.134,1,1,0,0,-5.24,5843.7,-0.08,48.55001,1,0.0,-0.08,2.23,0.08,-0.006,1.0,3.82,1,0.065,0,1.0,5.24,0.1,0.08,198.1,-0.1,NOT PLANET
579,0.0,281.197877,0,0.006,56.652,0,9.9592,-33.816,-0.051,1,-173.4,44.3531,1,1,0,0,-0.0525,4154.0,-0.12,62.685644,1,0.0,-0.056,0.71,0.12,-0.006,1.0,4.53,1,0.051,0,1.0,0.0525,0.07,0.056,173.4,-0.07,NOT PLANET
586,0.0,1.887805,0,0.006,-56.056,0,9.76119,-4.488,-0.025,1,-249.1,163.083,1,1,0,0,-1.187,5904.0,-0.07,32.43753,1,0.0,-0.051,1.25,0.07,-0.006,1.0,4.31,1,0.025,0,1.0,1.187,0.1,0.051,249.1,-0.1,NOT PLANET
587,0.0,17.47474,0,0.01,-10.702,0,9.7116,-24.173,-0.074,1,-131.7,371.414,1,1,0,0,-6.1705,6064.0,-0.08,25.681649,1,0.0,-0.091,2.9,0.08,-0.01,1.0,3.57,1,0.074,0,1.0,6.1705,0.14,0.091,131.7,-0.14,PLANET
588,0.0,18.995312,0,0.009,-9.221,0,10.3002,21.672,-0.068,1,-129.5,278.514,1,1,0,0,-3.347,6434.0,-0.09,21.616906,1,0.0,-0.078,1.4782799,0.09,-0.009,1.0,4.21,1,0.068,0,1.0,3.347,0.0664975,0.078,129.5,-0.0664975,PLANET
589,0.0,334.981312,0,0.008,-2.622,0,8.706101,-6.492,-0.121,1,-11.9,1610.79,1,1,0,0,-205.365,3294.0,,53.662497,1,0.0,-0.126,,,-0.008,1.0,,1,0.121,0,1.0,205.365,,0.126,11.9,,NOT PLANET
590,0.0,327.275942,0,0.006,10.008,0,10.0478,174.708,-0.045,1,-122.4,78.3164,1,1,0,0,-0.1766,5113.0,-0.09,53.293768,1,0.0,-0.053,0.68,0.09,-0.006,1.0,4.71,1,0.045,0,1.0,0.1766,0.04,0.053,122.4,-0.04,NOT PLANET
591,0.0,343.233217,0,0.006,-2.168,0,9.95717,4.326,-0.043,1,-721.2,405.174,1,1,0,0,-4.5835,8911.0,-0.09,59.850951,1,0.0,-0.044,1.85,0.09,-0.006,1.0,4.26,1,0.043,0,1.0,4.5835,0.07,0.044,721.2,-0.07,NOT PLANET
592,0.0,321.97348,0,0.006,16.871,0,9.6788,12.323,-0.071,1,-142.1,265.402,1,1,0,0,-2.8785,8014.0,-0.07,54.519818,1,0.0,-0.071,1.6,0.07,-0.006,1.0,4.32,1,0.071,0,1.0,2.8785,0.05,0.071,142.1,-0.05,NOT PLANET
593,0.0,336.872671,0,0.026,-2.419,0,7.8165,-3.186,-0.09,1,-43.9,2509.86,1,1,0,0,-350.175,3295.0,,59.43379,1,0.0,-0.1,,,-0.026,1.0,,1,0.09,0,1.0,350.175,,0.1,43.9,,NOT PLANET
594,0.0,112.965421,0,0.006,27.144,0,10.9031,-15.215,-0.033,1,-108.8,336.267,1,1,0,0,-1.916,5982.9,-0.08,-73.606036,1,0.0,-0.029,1.67987,0.08,-0.006,1.0,4.03,1,0.033,0,1.0,1.916,0.0741256,0.029,108.8,-0.0741256,PLANET
595,0.0,341.964758,0,0.006,29.76,0,10.1871,82.14,-2.0,1,-108.9,89.156,1,1,0,0,,4980.0,,60.173635,1,0.0,-2.0,,,-0.006,1.0,,1,2.0,0,1.0,,,2.0,108.9,,NOT PLANET
596,0.0,332.712572,0,0.006,-9.229,0,10.4089,-14.044,-0.047,1,-508.9,351.079,1,1,0,0,-3.241,7274.0,-0.11,59.650554,1,0.0,-0.054,1.58,0.11,-0.006,1.0,4.25,1,0.047,0,1.0,3.241,0.06,0.054,508.9,-0.06,NOT PLANET
597,0.0,328.215897,0,0.006,11.915,0,10.4824,18.067,-0.045,1,-144.2,387.982,1,1,0,0,-4.5045,5647.0,-0.08,60.569156,1,0.0,-0.053,2.41,0.08,-0.006,1.0,3.68,1,0.045,0,1.0,4.5045,0.13,0.053,144.2,-0.13,NOT PLANET
598,0.0,339.120372,0,0.012,-10.365,0,10.2347,11.473,-0.067,1,-149.8,289.116,1,1,0,0,-4.3655,6928.0,-0.09,52.115714,1,0.0,-0.098,1.46,0.09,-0.012,1.0,4.29,1,0.067,0,1.0,4.3655,0.06,0.098,149.8,-0.06,NOT PLANET
599,0.0,331.569908,0,0.006,-4.587,0,9.98645,39.91,-0.061,1,-130.4,231.273,1,1,0,0,-2.5675,6194.0,-0.08,52.701917,1,0.0,-0.084,1.5,0.08,-0.006,1.0,4.16,1,0.061,0,1.0,2.5675,0.07,0.084,130.4,-0.07,NOT PLANET
600,0.0,326.091506,0,0.006,-26.776,0,9.27116,-34.822,-0.05,1,-144.5,236.734,1,1,0,0,-1.4865,6338.0,-0.09,58.551567,1,0.0,-0.058,2.0707099,0.09,-0.006,1.0,3.9,1,0.05,0,1.0,1.4865,0.0909045,0.058,144.5,-0.0909045,NOT PLANET
601,0.0,338.796529,0,0.017,-5.368,0,9.8115,-6.332,-0.061,1,-235.0,705.851,1,1,0,0,-19.4175,9195.0,-0.07,55.031026,1,0.0,-0.072,3.37,0.07,-0.017,1.0,3.75,1,0.061,0,1.0,19.4175,0.13,0.072,235.0,-0.13,NOT PLANET
602,0.0,333.669705,0,0.006,-13.263,0,8.41718,-9.914,-0.053,1,-143.8,195.542,1,1,0,0,-1.4165,7960.5,-0.08,53.239557,1,0.0,-0.057,1.77,0.08,-0.006,1.0,4.23,1,0.053,0,1.0,1.4165,0.06,0.057,143.8,-0.06,NOT PLANET
603,0.0,339.14435,0,0.02,-2.752,0,10.471,-5.469,-0.049,1,-230.8,852.233,1,1,0,0,-25.219,8326.0,-0.08,58.276061,1,0.0,-0.06,3.87,0.08,-0.02,1.0,3.58,1,0.049,0,1.0,25.219,0.15,0.06,230.8,-0.15,NOT PLANET
604,0.0,356.588834,0,0.006,-2.664,0,9.42218,8.864,-0.035,1,-606.1,431.14,1,1,0,0,-4.9715,7856.0,-0.1,60.487025,1,0.0,-0.041,2.91,0.1,-0.006,1.0,3.78,1,0.035,0,1.0,4.9715,0.14,0.041,606.1,-0.14,NOT PLANET
605,0.0,83.349121,0,0.006,25.403,0,11.0264,28.992,-0.06,1,-64.8,137.504,1,1,0,0,-0.4555,5037.6,-0.2,-58.745093,1,0.0,-0.046,0.79,0.2,-0.006,1.0,4.72,1,0.06,0,1.0,0.4555,0.02,0.046,64.8,-0.02,NOT PLANET
606,0.0,348.574188,0,0.022,6.027,0,10.1975,34.183,-0.048,1,-188.4,500.543,1,1,0,0,-7.8005,6524.0,-0.09,65.957972,1,0.0,-0.049,3.4,0.09,-0.022,1.0,3.5,1,0.048,0,1.0,7.8005,0.15,0.049,188.4,-0.15,NOT PLANET
607,0.0,340.352259,0,0.027,-0.315,0,10.381,4.381,-0.044,1,-397.9,544.233,1,1,0,0,-7.681,9218.0,-0.07,69.074447,1,0.0,-0.047,2.0,0.07,-0.027,1.0,4.21,1,0.044,0,1.0,7.681,0.06,0.047,397.9,-0.06,NOT PLANET
608,,345.488066,0,1.0,,0,10.262,,,1,,,1,1,0,0,,,,64.067337,1,,,,,-1.0,,,1,,0,,,,,,,NOT PLANET
609,0.0,350.373796,0,0.006,11.522,0,10.2866,49.053,-0.039,1,-156.4,275.906,1,1,0,0,-2.0795,6221.0,-0.09,60.175637,1,0.0,-0.042,1.55,0.09,-0.006,1.0,4.13,1,0.039,0,1.0,2.0795,0.07,0.042,156.4,-0.07,NOT PLANET
610,0.0,351.648417,0,0.006,-5.185,0,7.5586,-4.361,-0.055,1,-150.7,242.006,1,1,0,0,-1.9745,7339.8,-0.08,64.304699,1,0.0,-0.052,3.64,0.08,-0.006,1.0,3.56,1,0.055,0,1.0,1.9745,0.15,0.052,150.7,-0.15,NOT PLANET
611,0.0,357.368097,0,0.006,13.53,0,10.4433,-0.929,-0.048,1,-122.0,337.288,1,1,0,0,-3.4055,6370.0,,61.682819,1,0.0,-0.045,2.32,,-0.006,1.0,3.81,1,0.048,0,1.0,3.4055,,0.045,122.0,,NOT PLANET
